Delamare et al.\cite{delamare2011approach},An approach for testing pointcut descriptors in aspectj,A, test oracle,unit,struc. ,Y,exi.,exi.,,AjMutator,well,manual invest.,n/a,AspectJ,S,S,N,
DeMilli and Offutt\cite{demilli1991constraint} ,Constraint-based automatic test data generation,G, test data generation , unit ,struc. (E),Y,exi.,exi.,, Mothra,n/a, manual invest. , weak mutation, Fortran ,P,P,N,
DeMillo and Offutt\cite{demillo1993experimental},Experimental results from an automatic test case generator,G,test data generation,unit,struc. (E),Y,exi.,exi.,,Mothra,n/a,manual invest.,weak mutation,Fortran,n/a,n/a,N,
Denaro et al.\cite{denaro2015dynamic} ,Dynamic data flow testing of object oriented systems, A , test data generation ,int.,struc. ,Y,exi.,exi.,, PIT ,n/a, n/a , n/a, Java ,"P, S",S,Y,*
Di Nardo et al.\cite{di2015generating},Generating complex and faulty test data through model-based mutation analysis,G,test data generation,sys.,spec. (E),N,n/a,,n/a,,well,n/a,selection strategy,spec.,n/a,n/a,N,
Do and Rothermel\cite{do2005controlled},A controlled experiment assessing test case prioritization techniques via mutation faults,A,test case prioritisation,unit,struc. ,N,self.,,self.,Self-written,well,n/a,n/a,Java,n/a,n/a,Y,
Do and Rothermel\cite{do2006use}*,On the use of mutation faults in empirical assessments of test case prioritization techniques,A,test case prioritisation,"unit, sys.","struc., spec.",N,self.,,self.,Self-written,well,n/a,n/a,Java,n/a,n/a,Y,
Do et al.\cite{do2008empirical},An empirical study of the effect of time constraints on the cost-benefits of regression testing,A,test case prioritisation,n/a,"struc., struc. (E)",N,self.,,self.,Self-written,well,n/a,fixed number,java,"S, M",M,Y,
Duran and Ntafos\cite{duran1984evaluation},An evaluation of random testing,A,test strategy evaluation,n/a,hybrid ,N,n/a,,n/a,,n/a,n/a,n/a,Fortran,n/a,n/a,N,
Edwards and Shams\cite{edwards2014comparing},Comparing test quality measures for assessing student-written tests,A,test strategy evaluation,unit,struc. ,Y,exi.,exi.,,Javalanche,n/a,  not killed as equivalent ,n/a,java,n/a,n/a,N,
Edwards\cite{edwards2000black},Black-box testing using flowgraphs: an experimental assessment of effectiveness and automation potential,A,test strategy evaluation,n/a,spec.,N,n/a,,n/a,,well,manual invest.,n/a,spec.,"P, S",S,N,
Edwards\cite{edwards2001framework},"A framework for practical, automated black-box testing of component-based software",A,"test data generation, test oracle","unit, int.",spec.,N,n/a,,n/a,,well,manual invest.,n/a,C++,n/a,n/a,N,
Elbaum et al.\cite{elbaum2002test},Test case prioritization: A family of empirical studies,G,test case prioritisation,n/a,struc. (E),Y,exi.,exi.,,Proteum,n/a,n/a,n/a,C,"S,M",M,Y,
Fang et al.\cite{fang2014similarity} ,Similarity-based test case prioritization using ordered sequences of program entities, A , test case prioritisation , unit ,sim. ,Y,exi.,exi.,, Jumble ,n/a,  not killed as equivalent , n/a, Java ,"S, M",M,Y,*
Flores and Polo\cite{flores2008testing}*,Testing-based assessment process for upgrading component systems,A,test strategy evaluation,int.,spec.,N,exi.,,exi.,"MuClipse, testooj",well,n/a,n/a,java,n/a,n/a,Y,
Flores and Polo\cite{flores2012testing},Testing-based process for component substitutability,A,test strategy evaluation,int.,spec.,N,exi.,,exi.,"MuClipse, testooj",well,n/a,n/a,java,n/a,n/a,Y,
Fraser and Walkinshaw\cite{fraser2015assessing},Assessing and generating test sets in terms of behavioural adequacy,G,"test data generation, test strategy evaluation",unit,struc. (E),Y,"exi., part.","exi., part.",,"Javalanche, EvoSuite",well,n/a,n/a,java,"P, S",S,N,
Fraser and Zeller\cite{fraser2012mutation} ,Mutation-driven generation of unit tests and oracles,G," test data generation, test oracle, test-case minimisation ", unit ,struc. (E),Y,exi.,exi.,,"$\mu$TEST, Javalanche",not suff.,no invest., weak mutation, Java ,n/a,n/a,Y,
Fraser et al.\cite{fraser2013does},Does automated white-box test generation really help software testers?,G,test data generation,unit,struc. ,Y,exi.,exi.,,MAJOR,n/a,n/a,fixed number,java,"P, S",S,Y,
Fraser et al.\cite{fraser2015achieving},Achieving scalable mutation-based generation of whole test suites,G,test data generation,unit,struc. (E),Y,part.,part.,,EvoSuite,well,no invest.,"mutant sample, weak mutation",Java,n/a,n/a,Y,
Gay et al.\cite{gay2015automated},Automated oracle data selection support,G,test oracle,unit,struc. (E),N,n/a,,n/a,,well,model checker,fixed number,simulink,n/a,n/a,N,
Gay et al.\cite{gay2015risks} ,The risks of coverage-directed test case generation, A ," test data generation, test-suite reduction",unit,"struc., struc. (E)",N,exi. ,,exi. , \cite{rajan2008requirements} ,not suff.,model checker,"fixed number, weak mutation", Lustre ,"P, S",S,N,
Gligoric et al.\cite{gligoric2013comparing} ,Comparing non-adequate test suites using coverage criteria, A , test strategy evaluation ,n/a,struc. ,"Y,N",exi.,exi.,exi.," Javalanche, \cite{andrews2003general} ",not suff.,no invest.,n/a," Java, C ","S, M",M,Y,
Gonzalez-Sanchez et al.\cite{gonzalez2011prioritizing},Prioritizing tests for fault localization through ambiguity group reduction,A,fault localisation,n/a,"struc., struc. (E)",Y,part.,part.,,Zoltar,n/a,n/a,n/a,C,"S, M",M,Y,
Gopinath et al.\cite{gopinath2014code} ,Code coverage for suite evaluation by developers, A , test strategy evaluation ,unit,struc. ,Y,exi.,exi.,, PIT ,n/a, n/a , n/a, Java ,"P, S, M",M,Y,
Gupta and Jalote\cite{gupta2007test},Test inspected unit or inspect unit tested code?,A,"fault localisation, program repairing",unit,others,N,hand.,,hand.,manual,well,n/a,n/a,java,S,S,N,
Hao et al.\cite{hao2012demand},On-demand test suite reduction,G,test-suite reduction,n/a,struc. (E),Y,exi.,exi.,,"Proteum, MuJava",n/a,n/a,mutant sample,"java, c","P, S",S,Y,
Hao et al.\cite{hao2014unified} ,A unified test case prioritization approach, A , test case prioritisation ," unit, sys.",struc. ,Y,exi.,exi.,," \cite{andrews2003general}, Mujava, Javalanche ",n/a, n/a ,fixed number," Java, C ","S, M",M,Y,
Harman et al.\cite{harman2011strong} ,Strong higher order mutation-based test data generation,G, test data generation ,n/a,struc. (E),Y,exi.,exi.,, MiLu ,not suff.,  not killed as equivalent ,higher-order, C ,S,S,N,
Hennessy and Power\cite{hennessy2008analysing} ,Analysing the effectiveness of rule-coverage as a reduction criterion for test suites of grammar-based software, A , test-suite reduction ,other,others,N,self.,,self.,Self-written,well, n/a ,weak mutation,C++ Grammar ,"S, M",M,Y,
Hofer and Wotawa\cite{hofer2014does},Why does my spreadsheet compute wrong values?,A,fault localisation,other,others,N,n/a,,n/a,,well,n/a,n/a,spread-sheet,n/a,n/a,Y,
Hofer et al.\cite{hofer2015empirical},On the empirical evaluation of similarity coefficients for spreadsheets fault localization,A,fault localisation,other,others,N,n/a,,n/a,,not suff.,n/a,n/a,spread-sheet,n/a,n/a,Y,
Holt et al.\cite{holt2012state},State-based testing: Industrial evaluation of the cost-effectiveness of round-trip path and sneak-path strategies,A,test strategy evaluation,n/a,spec.,N,hand.,,hand.,Hand-seeded,well,n/a,n/a,C++,S,S,N,
Hong et al.\cite{hong2013impact} *,The impact of concurrent coverage metrics on testing effectiveness, A , test strategy evaluation ,n/a ,struc. ,N, n/a ,, n/a ,,well, n/a ,n/a, Java ,"P, S",S,N,
Hong et al.\cite{hong2015concurrency},Are concurrency coverage metrics effective for testing: a comprehensive empirical investigation,A,test strategy evaluation,n/a,struc. ,N,n/a,,n/a,,well,n/a,n/a,java,"P, S",S,N,
Hou et al.\cite{hou2007applying},Applying interface-contract mutation in regression testing of component-based software,G,test strategy evaluation,int.,spec. (E),N,n/a,,n/a,,well,n/a,weak mutation,Java,"P, S",S,Y,
Inozemtseva et al.\cite{inozemtseva2014coverage} ,Coverage is not strongly correlated with test suite effectiveness, A , test strategy evaluation , unit ,struc. ,Y,exi.,exi.,, PIT ,n/a,  not killed as equivalent , n/a, Java ,M,M,Y,
Jamrozik et al.\cite{jamrozik2012augmented},Augmented dynamic symbolic execution,G,test data generation,unit,struc. (E),N,n/a,,n/a,,n/a,n/a,n/a,C\#,n/a,n/a,N,
Jee et al.\cite{jee2014automated},Automated test case generation for FBD programs implementing reactor protection system software,A,test data generation,unit,struc. ,N,n/a,,n/a,,well,n/a,n/a,PLC,n/a,n/a,N,
Jolly et al.\cite{jolly2012automated} ,Automated unit testing of a SCADA control software: an industrial case study based on action research, A , test strategy evaluation , unit ,spec.,N,exi. ,,exi. , Mutant Power ,n/a, n/a ,fixed number, C\# ,M,M,N,
Kanewala and Bieman\cite{kanewala2013using},Using machine learning techniques to detect metamorphic relations for programs without test oracles,A,test oracle,unit,others,Y,exi.,exi.,,$\mu$-java,well,n/a,n/a,java,P,P,N,
Kapfhammer et al.\cite{kapfhammer2013search},Search-based testing of relational schema integrity constraints across multiple database management systems,A,test data generation,other,others,N,n/a,,n/a,,well,n/a,n/a,SQL ,n/a,n/a,N,
Khalil and Labiche\cite{khalil2010round},On the round trip path testing strategy,A,test strategy evaluation,n/a,spec.,Y,exi.,exi.,,MuJava,well,  not killed as equivalent ,n/a,java,S,S,Y,
Kim et al.\cite{kim2001investigating} ,Investigating the effectiveness of object-oriented testing strategies using the mutation method, A , test strategy evaluation ,n/a,"spec., struc. ",N,self.,,self.,Self-written,not suff., n/a , n/a, Java ,"P, S",S,N,*
Koster and Kao\cite{koster2007state},State coverage: a structural test adequacy criterion for behavior checking,A,test strategy evaluation,unit,struc. (E),Y,exi.,exi.,,MuJava,well,n/a,n/a,java,S,S,Y,
Kracht et al.\cite{kracht2014empirically} ,Empirically evaluating the quality of automatically generated and manually written test suites, A , test data generation , unit ,struc. ,Y,exi.,exi.,, MAJOR ,well, n/a ,n/a, Java ,"S, M",M,Y,
Kwon et al.\cite{kwon2014test} ,Test Case Prioritization Based on Information Retrieval Concepts,G, test case prioritisation , unit ,struc. (E),Y,exi.,exi.,, MAJOR ,not suff., n/a ,fixed number, Java ,S,S,Y,
Le Traon et al.\cite{le2006design},Design by contract to improve software vigilance,A,test strategy evaluation,unit,spec.,N,exi. ,,exi. ,$\mu$Slayer,well,manual invest.,n/a,Eiffel,n/a,n/a,Y,
Le Traon et al.\cite{le2007testing},Testing Security Policies: Going Beyond Functional Testing,A,"test strategy evaluation, test-suite selection",sys.,spec.,N,n/a,,n/a,,well,reduce likelihood,n/a,spec.,M,M,N,
Lee and Offutt\cite{lee2001generating},Generating test cases for XML-based Web component interactions using mutation analysis,G,test data generation,int.,struc. (E),N,n/a,,n/a,,well,n/a,n/a,XML,n/a,n/a,Y,
Lei and Andrews\cite{lei2005minimization},Minimization of randomized unit test cases,A,test case minimisation,unit,struc. ,N,n/a,,n/a,,well,  not killed as equivalent ,n/a,C,"P, S",S,N,
Li et al.\cite{li2007practical},A practical approach to testing GUI systems,A,test strategy evaluation,"int., sys.",spec.,N,n/a,,n/a,,well,manual invest.,n/a,java,S,S,N,
Liu et al.\cite{liu2006approach} ,An approach to test data generation for killing multiple mutants,G, test data generation , unit ,struc. (E),N,self.,,self.,Self-written,well, manual invest. , weak mutation, Java ,P,P,N,
Lorber\cite{lorber2015model},Model-Based Mutation Testing of Synchronous and Asynchronous Real-Time Systems,G,test data generation,n/a,spec. (E),Y,exi.,exi.,,MoMuT::UML,n/a,n/a,n/a,spec.,n/a,n/a,N,
Lou et al.\cite{lou2015mutation},Mutation-based test-case prioritization in software evolution,G,test case prioritisation,unit,struc. (E),Y,exi.,exi.,,Javalanche,well,n/a,fixed number,java,"S, M",M,Y,
Loyala et al.\cite{loyola2014dodona} ,Dodona: automated oracle data set selection, A ,test oracle, unit ,others,Y,exi.,exi.,, MAJOR ,n/a, n/a ,n/a, Java ,S,S,Y,
Mariani et al.\cite{mariani2007compatibility},Compatibility and regression testing of COTS-component-based software,A,"test data generation, test case prioritisation",int.,spec.,N,hand.,,hand.,,well,manual invest.,n/a,java,n/a,n/a,N,
Mayer and Guderlei\cite{mayer2006random},On random testing of image processing applications,A,"test data generation, test strategy evaluation",n/a,spec.,Y,exi.,exi.,,MuJava,well,n/a,n/a,java,n/a,n/a,N,
Mayer and Schneckenburger\cite{mayer2006empirical},An empirical analysis and comparison of random testing techniques,A,test strategy evaluation,n/a,spec.,Y,exi.,exi.,,MuJava,well,n/a,n/a,java,n/a,n/a,N,
Mcminn et al.\cite{mcminn2015effectiveness},The effectiveness of test coverage criteria for relational database schema integrity constraints,A,"test strategy evaluation, test data generation",other,struc. ,Y,exi.,exi.,,SchemaAnalyst,well,reduce likelihood,n/a,SQL ,n/a,n/a,N,
Milani et al.\cite{milani2014leveraging} ,Leveraging existing tests in automated test generation for web applications, A , test data generation , unit ,spec.,Y,exi.,exi.,, MUTANDIS \cite{mirshokraie2013efficient} ,well,reduce likelihood, n/a, JavaScript ,"S, M",M,Y,
Miller and Strooper\cite{miller2012case},A case study in model-based testing of specifications and implementations,A,test strategy evaluation,n/a,spec.,"Y, N","exi., hand.",exi.,hand.,"MuJava, manual",well,manual invest.,mutant sample,java,n/a,n/a,N,
Mirshokraie\cite{mirshokraie2014effective},Effective test generation and adequacy assessment for JavaScript-based web applications,G,"test data generation, test oracle, test strategy evaluation",unit,struc. (E),Y,exi.,exi.,,MUTANDIS,n/a,n/a,n/a,JavaScript,n/a,n/a,N,
Moon et al.\cite{moon2014ask},Ask the mutants: Mutating faulty programs for fault localization,G,fault localisation,n/a,struc. (E),Y,exi.,exi.,,Proteum,not suff.,n/a,selection strategy,C,"S, M",M,Y,
Mottu et al.\cite{mottu2012static},Static analysis of model transformations for effective test generation,A,test data generation,n/a,struc. (E),N,n/a,,n/a,,well,n/a,n/a,AspectJ,n/a,n/a,Y,
Mouchawrab et al.\cite{mouchawrab2007assessing} *,"Assessing, comparing, and combining statechart-based testing and structural testing: An experiment", A , test data generation,n/a,"spec., struc. ",Y,exi.,exi.,, Mujava ,n/a, manual invest. ,n/a,Java,S,S,Y,*
Mouchawrab et al.\cite{mouchawrab2011assessing} ,"Assessing, comparing, and combining state machine-based testing and structural testing: a series of experiments", A , test data generation,n/a,"spec., struc. ",Y,exi.,exi.,, Mujava ,n/a, manual invest. ,n/a,Java,S,S,Y,
Murtaza et al.\cite{murtaza2011diagnosing},Diagnosing new faults using mutants and prior faults (NIER track),G,fault localisation,n/a,struc. (E),N,exi. ,,exi. , \cite{andrews2003general} ,not suff.,n/a,n/a,C,M,M,Y,
Namin and Andrews\cite{namin2009influence} ,The influence of size and coverage on test suite effectiveness, A , test strategy evaluation , unit ,struc. ,Y,exi.,exi.,, Proteum ,well,  not killed as equivalent ,fixed number,C,S,S,Y,
Ntafos\cite{ntafos1984evaluation}*,An evaluation of required element testing strategies,A,test strategy evaluation,n/a,"struc., spec.",N,exi. ,,exi. ,\cite{budd1979mutation},well,n/a,n/a,Fortran,n/a,n/a,N,
Ntafos\cite{ntafos1984required},On required element testing,A,test strategy evaluation,n/a,struc. ,N,n/a,,n/a,,n/a,n/a,n/a,Fortran,P,P,Y,
Offutt and Liu\cite{offutt1999generating},Generating test data from SOFL specifications,A,test data generation,int.,spec.,Y,exi.,exi.,,Mothra,well,no invest.,n/a,n/a,n/a,n/a,N,
Offutt et al.\cite{offutt1995procedures},Procedures for reducing the size of coverage-based test sets,G,test-suite reduction,unit,struc. (E),Y,exi.,exi.,, Mothra,well,n/a,n/a,Fortran,P,P,N,
Papadakis and Malevris\cite{papadakis2010automatic} *,Automatic mutation test case generation via dynamic symbolic execution,G, test data generation , unit ,struc. (E),Y,part.,part.,,jFuzz,well,"  not killed as equivalent, manual invest. ",n/a, Java ,"P, S",S,Y,
Papadakis and Malevris\cite{papadakis2011automatically} ,"Automatically performing weak mutation with the aid of symbolic execution, concolic testing and search-based testing",G, test data generation , unit ,struc. (E),Y,part.,part.,, jFuzz ,well, manual invest. ,weak mutation, Java ,n/a,n/a,Y,
Papadakis and Malveris\cite{papadakis2012mutation} ,Mutation based test case generation via a path selection strategy,G, test data generation , unit ,struc. (E),N, n/a ,, n/a ,,well,  not killed as equivalent , weak mutation,"Delphi, C, n/a",P,P,N,
Papadakis et al.\cite{papadakis2012using},"Using mutants to locate ""unknown"" faults",G,fault localisation,unit,struc. (E),Y,exi.,exi.,,Proteum,n/a,no invest.,mutant sample,C,"P, S",S,Y,
Papadakis et al.\cite{papadakis2014sampling} ,Sampling program inputs with mutation analysis: Going beyond combinatorial interaction testing, A , test-suite selection ,n/a,spec. (E),N, n/a ,, n/a ,,well,  not killed as equivalent , n/a, C ,S,S,Y,
Papadakis et al.\cite{papadakis2015metallaxis},Metallaxis-FL: mutation-based fault localization,G,fault localisation,unit,struc. (E),Y,exi.,exi.,,Proteum,not suff.,no invest.,mutant sample,C,"S, M",M,Y,
Patrick et al.\cite{patrick2015subdomain},Subdomain-based test data generation,G,test data generation,n/a,hybrid ,Y,exi.,exi.,,MuJava,n/a,n/a,n/a,java,"P, S",S,N,
Pinte et al.\cite{pinte2008techniques},"Techniques and tools for the automatic generation of optimal test data at code, model and interface level",A,test data generation,unit,struc. ,Y,exi.,exi.,,MuJava,n/a,n/a,n/a,java,n/a,n/a,N,
Polo et al.\cite{polo2007integrating},Integrating techniques and tools for testing automation,A,test data generation,unit,struc. ,Y,exi.,exi.,,MuJava,well,manual invest.,n/a,java,S,S,Y,
Pretschner et al.\cite{pretschner2008model},Model-based tests for access control policies,A,"test data generation, test strategy evaluation",n/a,spec.,N,n/a,,n/a,,well,n/a,n/a,spec.,n/a,n/a,N,
Qi et al.\cite{qi2013efficient},Efficient automated program repair through fault-recorded testing prioritization,G,program repairing,n/a,struc. (E),Y,part.,part.,,TrpAutoRepair,not suff.,n/a,n/a,C,"M, L",L,Y,
Qu et al.\cite{qu2007combinatorial} ,Combinatorial interaction regression testing: A study of test case generation and prioritization, A ," test data generation, test case prioritisation ",n/a,spec.,N,exi. ,,exi. , \cite{andrews2003general} ,not suff., n/a ,fixed number, C ,"S, M",M,Y,
Qu et al. \cite{qu2008configuration} ,Configuration-aware regression testing: an empirical study of sampling and prioritization,G, test case prioritisation ,n/a,spec. (E),N,exi. ,,exi. , \cite{andrews2003general} ,n/a, n/a ,fixed number, C ,M,M,Y,
Qu et al.\cite{qu2012configuration} ,Configuration selection using code change impact analysis for regression testing, A , test-suite selection ,n/a,spec.,N,exi. ,,exi. , \cite{andrews2003general} ,n/a, n/a , n/a,C/C++,"S, M",M,N,
Rojas et al.\cite{rojas2015combining},Combining multiple coverage criteria in search-based unit test generation,G,test data generation,unit,"struc., struc. (E)",Y,exi.,exi.,,EvoSuite,well,n/a,n/a,java,M,M,N,
Rothermel et al.\cite{rothermel1999test}*,Test case prioritization: An empirical study,G,test case prioritisation,n/a,"struc., struc. (E)",Y,exi.,exi.,,Proteum,n/a,n/a,n/a,C,S,S,Y,
Rothermel et al.\cite{rothermel2001prioritizing} ,Prioritizing test cases for regression testing,G, test case prioritisation ,n/a,struc. (E),Y,exi.,exi.,, Proteum ,n/a,  not killed as nonequivalent , n/a, C ,S,S,Y,
Rubab et al.\cite{rubab2014model},Model-based testing of obligations,A,test data generation,n/a,spec.,N,hand.,,hand.,,well,n/a,n/a,spec.,n/a,n/a,N,
Rutherford et al.\cite{rutherford2006simulation}*,Simulation-based test adequacy criteria for distributed systems,A,test strategy evaluation,sys.,spec.,Y,exi.,exi.,,MuJava,not suff.,manual invest.,n/a,java,S,S,N,
Rutherford et al.\cite{rutherford2008evaluating},Evaluating test suites and adequacy criteria using simulation-based models of distributed systems,A,test strategy evaluation,sys.,spec.,Y,exi.,exi.,,MuJava,well,n/a,n/a,java,S,S,N,
Schuler and Zeller\cite{schuler2011assessing}*,Assessing oracle quality with checked coverage,A,test strategy evaluation,unit,struc. ,Y,exi.,exi.,,Javalanche,n/a,n/a,n/a,java,"S, M",M,Y,
Schuler and Zeller\cite{schuler2013checked},Checked coverage: an indicator for oracle quality,A,test strategy evaluation,unit,struc. ,Y,exi.,exi.,,Javalanche,n/a,n/a,n/a,java,"S, M",M,Y,
Segura et al.\cite{segura2010automated},Automated test data generation on the analyses of feature models: A metamorphic testing approach,A,test data generation,n/a,spec.,Y,exi.,exi.,,MuClipse,well,manual invest.,n/a,java,S,S,Y,
Shahamiri et al.\cite{shahamiri2012artificial},Artificial neural networks as multi-networks automated test oracle,A,test oracle,n/a,spec.,N,n/a,,n/a,,not suff.,n/a,n/a,C\#,n/a,n/a,N,
Shelton et al.\cite{shelton2012adding},Adding criteria-based tests to test driven development,G,development scheme evaluation,unit,others,Y,exi.,exi.,,MuJava,n/a,manual invest.,n/a,java,n/a,n/a,N,*
Shi et al.\cite{shi2014balancing} ,Balancing trade-offs in test-suite reduction,G, test-suite reduction ,n/a,"struc., struc. (E)",Y,exi.,exi.,, PIT ,well, n/a , n/a, Java ,"P, S",S,Y,
