,search_title,database,result_title,authors,citation,venue,abstract,keywords
-1,Testing Web Services by XML Perturbation,ieeexplore,Testing web services by XML perturbation,"Xu, Wuzhi, Jeff Offutt, and Juan Luo",151," In <i>Software Reliability Engineering, 2005. ISSRE 2005. 16th IEEE International Symposium on</i>, pp. 10-pp. IEEE, 2005.","The eXtensible Markup Language (XML) is widely used to transmit data across the Internet. XML schemas are used to defile the syntax of XML messages. XML-based applications can receive messages from arbitrary applications, as long as they follow the protocol defined by the schema. A receiving application must either validate XML messages, process the data in the XML message without validation, or modify the XML message to ensure that it conforms to the XML schema. A problem for developers is how well the application performs the validation, data processing, and, when necessary, transformation. This paper describes and gives examples of a method to generate tests for XML-based communication by modifying and then instantiating XML schemas. The modified schemas are based on precisely defined schema primitive perturbation operators",
-1,Mutation-Based Inter-Class Testing,ieeexplore,Mutation-based inter-class testing,"Yoon, Hoijin, Byoungju Choi, and Jin-Ok Jeon",15," In <i>Software Engineering Conference, 1998. Proceedings. 1998 Asia Pacific</i>, pp. 174-181. IEEE, 1998.","Faults and failures due to interaction are the bane of testers. Since their subtlety makes them difficult to recognize and even more difficult to reveal by testing, it is important to specify interaction between classes systematically. In this paper, we propose mutation-based inter-class testing technique. Our inter-class testing technique consists of two procedures: test item identification procedure and test case selection procedure. For the test item identification procedure, we develop the Inheritance-Call graph (ICgraph) to identify the taxonomy of interaction of public methods between classes. For the test case selection procedure, we design a new criterion, state-based mutation testing criterion (SMTC), by applying mutation analysis to the state diagram representing class behavior. Mutation analysis is a well-known method for measuring test case adequacy which involves the mutation of a program by the introduction of small syntactic change in the program. The implementation of our proposed technique on a sample program shows that our technique leads to a set of test cases which detect errors in inter-class relation.",
？,Search-Based Mutation Testing for Simulink Models,acm,Search-based mutation testing for simulink models,"Zhan, Yuan, and John A. Clark",56," In <i>Proceedings of the 7th annual conference on Genetic and evolutionary computation</i>, pp. 1061-1068. ACM, 2005.","
<div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"" class=""tabbody"">

             <div style=""display:inline"">The efficient and effective generation of test-data from high-level models is of crucial importance in advanced modern software engineering. Empirical studies have shown that mutation testing is highly effective. This paper describes how search-based automatic test-data generation methods can be used to find mutation adequate test-sets for <i>Matlab/Simulink</i> models.</div> 
            

            </div>
          ",Matlab/Simulink; automation; heuristic search; mutation testing; simulated annealing; test-data generation
-1,Lightweight State Based Mutation Testing for Security,ieeexplore,Lightweight State Based Mutation Testing for Security,"Zhang, Songtao, Thomas Dean, and Scott Knight",7," In <i>Testing: Academic and Industrial Conference Practice and Research Techniques-MUTATION, 2007. TAICPART-MUTATION 2007</i>, pp. 223-232. IEEE, 2007.","State based protocols are protocols in which the handling of one message depends on the contents of previous messages. Testing such protocols, for security or for other purposes usually means specifying the state space of the protocol in some manner. This paper introduces a novel method of using an existing client to explore the state space. The messages exchanged between the client and test system are captured and mutated. To send the mutated test messages, the previous messages must be resent. Constraints expressed in an extended version of the Semantic Constraint Language are used to automatically derive the data dependencies between the messages.",
-1,Mutation Testing for Java Database Applications,ieeexplore,Mutation testing for java database applications,"Zhou, Chixiang, and Phyllis Frankl",39," In <i>Software Testing Verification and Validation, 2009. ICST'09. International Conference on</i>, pp. 396-405. IEEE, 2009.","Database application programs are ubiquitous, so good techniques for testing them are needed. Recently, several research groups have proposed new approaches to generating tests for database applications and for assessing test data adequacy. This paper describes a mutation testing tool, JDAMA (Java Database Application Mutation Analyzer), for Java programs that interact with a database via the JDBC interface. Our approach extends the mutation testing approach for SQL by Tuya et al, by integrating it with analysis and instrumentation of the application bytecode. JDAMA's use is illustrated through a small study which uses mutation scores to compare two test generation techniques for database applications.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.database application.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">database application</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.software testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">software testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,System Level Mutation Analysis Applied to a State-Based Language,ieeexplore,System level mutation analysis applied to a state-based language,"Olsson, Thomas, and Per Runeson",8," In <i>Engineering of Computer Based Systems, 2001. ECBS 2001. Proceedings. Eighth Annual IEEE International Conference and Workshop on the</i>, pp. 222-228. IEEE, 2001.","One of the great challenges within software testing is to know if a test suite covers a program sufficiently. Mutation analysis is presented as an approach to address that challenge. Faulty versions, or mutants, are created, and whether the test suite is able to discover the defects is investigated. The technique is mostly applied to the unit level testing of software programs. Mutation analysis is applied to integration and system level testing in addition to unit level testing. A state based specification and description language, SDL, is used. The specific structural information is used to employ mutation analysis at different abstraction levels.",
-1,Model-Based Tests for Access Control Policies,ieeexplore,Model-Based Tests for Access Control Policies,"Mouelhi, Tejeddine, and Yves Le Traon",71,,"We present a model-based approach to testing access control requirements. By using combinatorial testing, we first automatically generate test cases from and without access control policies—i.e., the model—and assess the effectiveness of the test suites by means of mutation testing. We also compare them to purely random tests. For some of the investigated strategies, non-random tests kill considerably more mutants thanthe same number of random tests. Since we rely on policies only, no information on the application is required at this stage. As a consequence, our methodology applies to arbitrary implementations of the policy decision points.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Combinatorial Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Combinatorial Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Access Control.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Access Control</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Model-Based Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Model-Based Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation Testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,Generating Test Cases for XML-Based Web Component Interactions Using Mutation Analysis,ieeexplore,Generating test cases for XML-based Web component interactions using mutation analysis,"Lee, Suet Chun, and Jeff Offutt",96," In <i>Software Reliability Engineering, 2001. ISSRE 2001. Proceedings. 12th International Symposium on</i>, pp. 200-209. IEEE, 2001.","Web software systems are built using heterogeneous software components. They interact by passing messages that exchange data and activity state information. Such heterogeneous message transfers can be structured using the eXtensible Markup Language (XML), which allows a flexible common data exchange. Parsers have been developed to check the syntax of component interactions, but there are as yet no techniques for checking the semantic correctness of the interactions. The paper presents a technique for using mutation analysis to test the semantic correctness of XML-based component interactions. The Web software interactions are specified using an Interaction Specification Model (ISM) that consists of document type definitions, messaging specifications, and a set of constraints. Test cases are XML messages that are passed between the Web software components. Classes of interaction-specific mutation operators are introduced and applied to the ISM to generate mutant interactions and test cases.",
-1,Testing the Semantics of W3C XML Schema,ieeexplore,Testing the semantics of W3C XML schema,"Li, Jian Bing, and James Miller",48," In <i>Computer Software and Applications Conference, 2005. COMPSAC 2005. 29th Annual International</i>, vol. 1, pp. 443-448. IEEE, 2005.","The XML schema language is becoming the preferred means of defining and validating highly structured XML instance documents. We have extended the conventional mutation method to be applicable for W3C XML schemas. In this paper a technique for using mutation analysis to test the semantic correctness of W3C XML schemas is presented. We introduce a mutation analysis model and a set of W3C XML schema (XSD) mutation operators that can be used to detect faults involving name-spaces, user-defined types, and inheritance. Preliminary evaluation of our technique shows that it is effectiveness to test the semantics of W3C XML schema documents.",
-1,Fault Diagnosis of Computer Programs,student report,,,,,,
-1,The Status of Research on Program Mutation,"RJ Lipton, FG Sayward - Digest for the Workshop on Software Testing and Test  …, 1978",The status of research on program mutation,"Lipton, Richard J., and Fred G. Sayward",44," In <i>Digest for the Workshop on Software Testing and Test Documentation</i>, pp. 355-373. 1978.",,
0,An Approach to Test Data Generation for Killing Multiple Mutants,ieeexplore,An approach to test data generation for killing multiple mutants,"Liu, Ming-Hao, You-Feng Gao, Jin-Hui Shan, Jiang-Hong Liu, Lu Zhang, and Jia-Su Sun",27," In <i>Software Maintenance, 2006. ICSM'06. 22nd IEEE International Conference on</i>, pp. 113-122. IEEE, 2006.","Software testing is an important technique for assurance of software quality. Mutation testing has been identified as a powerful fault-based technique for unit testing, and there has been some research on automatic generation of test data for mutation testing. However, existing approaches to this kind of test data generation usually generate test data according to one mutant at one time. Thus, more test data that are needed for achieving a given mutation score. In this paper, we propose a new approach to generating one test data according to multiple mutants that are mutated at the same location at one time. Thus, our approach can generate smaller test suite that can achieve the same mutation testing score. To evaluate our approach, we implemented a prototype tool based on our approach and carried out some preliminary experiments. The experimental results show that our approach is more cost-effective","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.adequacy criterion.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">adequacy criterion</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.unit testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">unit testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.test data.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">test data</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.generation.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">generation</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,The Weak Mutation Hypothesis,acm,Historical contingency and the evolution of a key innovation in an experimental population of Escherichia coli,"Blount, Zachary D., Christina Z. Borland, and Richard E. Lenski",41," <i>Proceedings of the National Academy of Sciences</i> 105, no. 23 (2008): 7899-7906.","
  <div class=""tabbody"">
              <div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"">
                  An abstract is not available.
              </div>
                      

</div>
            ",
？,A Fault Model and Mutation Testing of Access Control Policies,acm,A fault model and mutation testing of access control policies,"Martin, Evan, and Tao Xie",131," In <i>Proceedings of the 16th international conference on World Wide Web</i>, pp. 667-676. ACM, 2007.","
<div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"" class=""tabbody"">

             <div style=""display:inline""><p>To increase confidence in the correctness of specified policies, policy developers can conduct policy testing by supplying typical test inputs (requests) and subsequently checking test outputs (responses) against expected ones. Unfortunately, manual testing is tedious and few tools exist for automated testing of access control policies. We present a fault model for access control policies and a framework to explore it. The framework includes mutation operators used to implement the fault model, mutant generation, equivalent-mutant detection, and mutant-killing determination. This framework allows us to investigate our fault model, evaluate coverage criteria for test generation and selection, and determine a relationship between structural coverage and fault-detection effectiveness. We have implemented the framework and applied it to various policies written in XACML. Our experimental results offer valuable insights into choosing mutation operators in mutation testing and choosing coverage criteria in test generation and selection.</p></div> 
            

            </div>
          ",access control policies; fault model; mutation testing; test generation
-1,Performance Effectiveness and Reliability Issues in Software Testing,ieeexplore,"Performance, effectiveness, and reliability issues in software testing","Mathur, Aditya P",139," In <i>Computer Software and Applications Conference, 1991. COMPSAC'91., Proceedings of the Fifteenth Annual International</i>, pp. 604-605. IEEE, 1991.",The author has identified two problems that need to be overcome in order that some of the powerful testing techniques be used in practice: performance and effectiveness. The testing methods referred to are dataflow and mutation testing.,
-1,CS 406 Software Engineering I,JR Abrial - 2010 - books.google.com,Replication's role in software engineering,"Brooks, Andrew, Marc Roper, Murray Wood, John Daly, and James Miller",1197," In <i>Guide to advanced empirical software engineering</i>, pp. 365-379. Springer London, 2008.",,
-1,Mutant Unification for Improved Vectorization,"<a href=""/citations?user=DdQMeHoAAAAJ&amp;hl=en&amp;oi=sra"">AP Mathur</a>, EW Krauser - Purdue University, West Lafayette, Indiana, Technique  …, 1988",Mutant unification for improved vectorization,"Mathur, Aditya P., and Edward W. Krauser",31," <i>Purdue University, West Lafayette, Indiana, Technique Report SERC-TR-14-P</i> (1988).",not available,
-1,An Empirical Comparison of Mutation and Data Flow Based Test Adequacy Criteria,Wiley Online Library,Toward the determination of sufficient mutant operators for C,"Barbosa, Ellen Francine, José Carlos Maldonado, and Auri Marcelo Rizzo Vincenzi",128," <i>Software Testing, Verification and Reliability</i> 11, no. 2 (2001): 113-136.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>Evaluation of the adequacy of a test set consisting of one or more test cases is a problem oftes encountered in software testing environments. Two test adequacy criiteria are considered, namely the data flow based all-uses criterion and a mutation based criterion. An empirical study was conducted to compare the ‘difficulty’ of satisfying the two criteria and their costs. Similar studies conducted in the past are discussed in the light of this study. A discussion is also presented of how and why the results of this study, when viewed in conjunction with the results of earlier comparisons of testing methods, are useful to a software test team.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Mutation; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Data flow; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">All-uses; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Test adequacy criteria</span></li>"
-1,An Empirical Comparison of Mutation and Data Flow Based Test Adequacy Criteria,Wiley Online Library,Toward the determination of sufficient mutant operators for C,"Barbosa, Ellen Francine, José Carlos Maldonado, and Auri Marcelo Rizzo Vincenzi",128," <i>Software Testing, Verification and Reliability</i> 11, no. 2 (2001): 113-136.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>Evaluation of the adequacy of a test set consisting of one or more test cases is a problem oftes encountered in software testing environments. Two test adequacy criiteria are considered, namely the data flow based all-uses criterion and a mutation based criterion. An empirical study was conducted to compare the ‘difficulty’ of satisfying the two criteria and their costs. Similar studies conducted in the past are discussed in the light of this study. A discussion is also presented of how and why the results of this study, when viewed in conjunction with the results of earlier comparisons of testing methods, are useful to a software test team.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Mutation; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Data flow; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">All-uses; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Test adequacy criteria</span></li>"
-1,-1,Wiley Online Library,An empirical comparison of data flow and mutation‐based test adequacy criteria,"Mathur, Aditya P., and W. Eric Wong",128," <i>Software Testing, Verification and Reliability</i> 4, no. 1 (1994): 9-31.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>Evaluation of the adequacy of a test set consisting of one or more test cases is a problem oftes encountered in software testing environments. Two test adequacy criiteria are considered, namely the data flow based all-uses criterion and a mutation based criterion. An empirical study was conducted to compare the ‘difficulty’ of satisfying the two criteria and their costs. Similar studies conducted in the past are discussed in the light of this study. A discussion is also presented of how and why the results of this study, when viewed in conjunction with the results of earlier comparisons of testing methods, are useful to a software test team.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Mutation; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Data flow; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">All-uses; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Test adequacy criteria</span></li>"
